"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"K","2008","24/08/2008","Wrestling","0","Taymuraz Tigiyev","26","Kazakhstan","1","0","1"
"G","2008","24/08/2008","Wrestling","0","Otar Tushishvili","30","Georgia","0","1","1"
"K","2008","24/08/2008","Wrestling","0","Ruslan Tyumenbayev","22","Kyrgyzstan","0","1","1"
"U","2008","24/08/2008","Wrestling","0","Armen Vardanian","25","Ukraine","0","1","1"
"B","2008","24/08/2008","Wrestling","0","Radoslav Velikov","24","Bulgaria","0","1","1"
"C","2008","24/08/2008","Wrestling","0","Tonya Verbeek","31","Canada","0","1","1"
"C","2008","24/08/2008","Wrestling","1","Wang Jiao","20","China","0","0","1"
"U","2008","24/08/2008","Wrestling","0","Adam Wheeler","27","United States","0","1","1"
"P","2008","24/08/2008","Wrestling","0","Agnieszka Wieszczek","25","Poland","0","1","1"
"C","2008","24/08/2008","Wrestling","0","Xu Li","18","China","1","0","1"
"B","2008","24/08/2008","Wrestling","0","Yavor Yanakiev","23","Bulgaria","0","1","1"
"J","2008","24/08/2008","Wrestling","1","Saori Yoshida","25","Japan","0","0","1"
"J","2008","24/08/2008","Wrestling","0","Kenichi Yumoto","23","Japan","0","1","1"
"B","2008","24/08/2008","Wrestling","0","Stanka Zlateva","25","Bulgaria","1","0","1"
"U","2004","29/08/2004","Wrestling","0","Stephen Abas","26","United States","1","0","1"
"S","2004","29/08/2004","Wrestling","0","Ara Abrahamian","29","Sweden","1","0","1"
"R","2004","29/08/2004","Wrestling","1","Khasan Baroyev","21","Russia","0","0","1"
"R","2004","29/08/2004","Wrestling","1","Mavlet Batyrov","20","Russia","0","0","1"
"U","2004","29/08/2004","Wrestling","1","Aleksandr Dokturishivili","24","Uzbekistan","0","0","1"
"T","2004","29/08/2004","Wrestling","0","Seref Eroglu","28","Turkey","1","0","1"
"C","2004","29/08/2004","Wrestling","0","Iván Fundora","28","Cuba","0","1","1"
"E","2004","29/08/2004","Wrestling","1","Karam Gaber","24","Egypt","0","0","1"
"U","2004","29/08/2004","Wrestling","0","Rulon Gardner","33","United States","0","1","1"
"R","2004","29/08/2004","Wrestling","1","Khadzhimurat Gatsalov","21","Russia","0","0","1"
"F","2004","29/08/2004","Wrestling","0","Lise Golliot-Legrand","27","France","0","1","1"
"F","2004","29/08/2004","Wrestling","0","Anna Gomis","30","France","0","1","1"
"J","2004","29/08/2004","Wrestling","0","Kyoko Hamaguchi","26","Japan","0","1","1"
"I","2004","29/08/2004","Wrestling","0","Ali Reza Heidari","28","Iran","0","1","1"
"U","2004","29/08/2004","Wrestling","0","Magamed Ibragimov","21","Uzbekistan","1","0","1"
"J","2004","29/08/2004","Wrestling","0","Chiharu Icho","22","Japan","1","0","1"
"J","2004","29/08/2004","Wrestling","1","Kaori Icho","20","Japan","0","0","1"
"J","2004","29/08/2004","Wrestling","0","Kenji Inoue","27","Japan","0","1","1"
"S","2004","29/08/2004","Wrestling","1","Jeong Ji-Hyeon","21","South Korea","0","0","1"
"U","2004","29/08/2004","Wrestling","0","Jamill Kelly","26","United States","1","0","1"
"G","2004","29/08/2004","Wrestling","0","Atryom Kyuregyan","27","Greece","0","1","1"
"K","2004","29/08/2004","Wrestling","0","Gennady Laliyev","25","Kazakhstan","1","0","1"
"H","2004","29/08/2004","Wrestling","1","István Majoros","30","Hungary","0","0","1"
"B","2004","29/08/2004","Wrestling","0","Vyacheslav Makarenko","28","Belarus","0","1","1"
"R","2004","29/08/2004","Wrestling","0","Gaydar Mamedaliyev","30","Russia","1","0","1"
"K","2004","29/08/2004","Wrestling","0","Mkhitar Manukyan","31","Kazakhstan","0","1","1"
"R","2004","29/08/2004","Wrestling","0","Gyuzel Manyurova","26","Russia","1","0","1"
"U","2004","29/08/2004","Wrestling","0","Sara McMann","23","United States","1","0","1"
"U","2004","29/08/2004","Wrestling","1","Iryna Merleni-Mykulchyn","22","Ukraine","0","0","1"
"U","2004","29/08/2004","Wrestling","0","Patricia Miranda","25","United States","0","1","1"
"R","2004","29/08/2004","Wrestling","1","Aleksey Mishin","25","Russia","0","0","1"
"C","2004","29/08/2004","Wrestling","0","Roberto Monzón","26","Cuba","1","0","1"
"I","2004","29/08/2004","Wrestling","0","Masoud Moustafa Gokar","26","Iran","1","0","1"
"S","2004","29/08/2004","Wrestling","0","Mun Ui-Je","29","South Korea","1","0","1"
"R","2004","29/08/2004","Wrestling","0","Makhach Murtazaliyev","20","Russia","0","1","1"
"A","2004","29/08/2004","Wrestling","1","F?rid M?nsurov","22","Azerbaijan","0","0","1"
"B","2004","29/08/2004","Wrestling","0","Armen Nazaryan","30","Bulgaria","0","1","1"
"G","2004","29/08/2004","Wrestling","0","Ramaz Nozadze","20","Georgia","1","0","1"
"T","2004","29/08/2004","Wrestling","0","Mehmet Özal","30","Turkey","0","1","1"
"T","2004","29/08/2004","Wrestling","0","Aydin Polatçi","27","Turkey","0","1","1"
"C","2004","29/08/2004","Wrestling","1","Yandro Quintana","24","Cuba","0","0","1"
"I","2004","29/08/2004","Wrestling","0","Ali Reza Rezaei","28","Iran","1","0","1"
"R","2004","29/08/2004","Wrestling","0","Varteres Samurgashev","24","Russia","0","1","1"
"U","2004","29/08/2004","Wrestling","1","Cael Sanderson","25","United States","0","0","1"
"R","2004","29/08/2004","Wrestling","1","Buvaisa Saytiyev","29","Russia","0","0","1"
"R","2004","29/08/2004","Wrestling","0","Sazhid Sazhidov","24","Russia","0","1","1"
"J","2004","29/08/2004","Wrestling","0","Chikara Tanabe","29","Japan","0","1","1"
"U","2004","29/08/2004","Wrestling","1","Artur Taymazov","25","Uzbekistan","0","0","1"
"U","2004","29/08/2004","Wrestling","1","Elbrus Tedieiev","29","Ukraine","0","0","1"
"K","2004","29/08/2004","Wrestling","0","Georgy Tsurtsumia","23","Kazakhstan","1","0","1"
"C","2004","29/08/2004","Wrestling","0","Tonya Verbeek","27","Canada","1","0","1"
"C","2004","29/08/2004","Wrestling","1","Wang Xu","18","China","0","0","1"
"F","2004","29/08/2004","Wrestling","0","Marko Yli-Hannuksela","30","Finland","1","0","1"
"J","2004","29/08/2004","Wrestling","1","Saori Yoshida","21","Japan","0","0","1"
"A","2000","01/10/2000","Wrestling","1","Namiq Abdullayev","29","Azerbaijan","0","0","1"
"C","2000","01/10/2000","Wrestling","1","Filiberto Azcuy","27","Cuba","0","0","1"
"H","2000","01/10/2000","Wrestling","0","Sándor István Bárdosi","23","Hungary","1","0","1"
"B","2000","01/10/2000","Wrestling","0","Serafim Barzakov","25","Bulgaria","1","0","1"
"K","2000","01/10/2000","Wrestling","0","Islam Bayramukov","29","Kazakhstan","1","0","1"
"T","2000","01/10/2000","Wrestling","0","Adem Bereket","27","Turkey","0","1","1"
"U","2000","01/10/2000","Wrestling","0","Terry Brands","32","United States","0","1","1"
"U","2000","01/10/2000","Wrestling","0","Yevhen Buslovych","28","Ukraine","1","0","1"
"G","2000","01/10/2000","Wrestling","0","Ak'ak'i Chachua","31","Georgia","0","1","1"
"I","2000","01/10/2000","Wrestling","1","Ali Reza Dabir","23","Iran","0","0","1"
"B","2000","01/10/2000","Wrestling","0","Dmitry Debelka","24","Belarus","0","1","1"
"U","2000","01/10/2000","Wrestling","1","Rulon Gardner","29","United States","0","0","1"
"R","2000","01/10/2000","Wrestling","0","Arsen Gitinov","23","Russia","1","0","1"
"R","2000","01/10/2000","Wrestling","0","Aleksey Glushkov","25","Russia","0","1","1"
"U","2000","01/10/2000","Wrestling","0","Sammie Henson","29","United States","1","0","1"
"M","2000","01/10/2000","Wrestling","0","Mogamed Ibragimov","26","Macedonia","0","1","1"
"C","2000","01/10/2000","Wrestling","1","Daniel Igali","26","Canada","0","0","1"
"S","2000","01/10/2000","Wrestling","0","Jang Jae-Seong","25","South Korea","0","1","1"
"G","2000","01/10/2000","Wrestling","0","Eldar K'urt'anidze","28","Georgia","0","1","1"
"N","2000","01/10/2000","Wrestling","0","Kang Yong-Gyun","26","North Korea","0","1","1"
"G","2000","01/10/2000","Wrestling","0","Amiran Kardanov","24","Greece","0","1","1"
"R","2000","01/10/2000","Wrestling","1","Murat Kardanov","29","Russia","0","0","1"
"R","2000","01/10/2000","Wrestling","0","Aleksandr Karelin","33","Russia","1","0","1"
"S","2000","01/10/2000","Wrestling","0","Kim In-Seop","27","South Korea","1","0","1"
"U","2000","01/10/2000","Wrestling","0","Matt Lindland","30","United States","1","0","1"
"S","2000","01/10/2000","Wrestling","1","Mikael Ljungberg","30","Sweden","0","0","1"
"U","2000","01/10/2000","Wrestling","0","Garrett Lowney","20","United States","0","1","1"
"C","2000","01/10/2000","Wrestling","0","Juan Luis Marén","29","Cuba","1","0","1"
"U","2000","01/10/2000","Wrestling","0","Lincoln McIlravy","26","United States","0","1","1"
"S","2000","01/10/2000","Wrestling","0","Mun Ui-Je","25","South Korea","1","0","1"
"R","2000","01/10/2000","Wrestling","1","Sagid Murtazaliyev","26","Russia","0","0","1"
"R","2000","01/10/2000","Wrestling","1","David Musulbes","28","Russia","0","0","1"
"J","2000","01/10/2000","Wrestling","0","Katsuhiko Nagata","26","Japan","1","0","1"
"B","2000","01/10/2000","Wrestling","1","Armen Nazaryan","26","Bulgaria","0","0","1"
"C","2000","01/10/2000","Wrestling","0","Lázaro Rivas","25","Cuba","1","0","1"
"C","2000","01/10/2000","Wrestling","0","Alexis Rodríguez","22","Cuba","0","1","1"
"C","2000","01/10/2000","Wrestling","0","Yoel Romero","23","Cuba","1","0","1"
"U","2000","01/10/2000","Wrestling","0","David Saldadze","22","Ukraine","1","0","1"
"R","2000","01/10/2000","Wrestling","1","Varteres Samurgashev","21","Russia","0","0","1"
"R","2000","01/10/2000","Wrestling","1","Adam Saytiyev","22","Russia","0","0","1"
"C","2000","01/10/2000","Wrestling","0","Sheng Zetian","27","China","0","1","1"
"S","2000","01/10/2000","Wrestling","1","Sim Gwon-Ho","27","South Korea","0","0","1"
"U","2000","01/10/2000","Wrestling","1","Brandon Slay","24","United States","0","0","1"
"U","2000","01/10/2000","Wrestling","0","Artur Taymazov","21","Uzbekistan","1","0","1"
"R","2000","01/10/2000","Wrestling","1","Murad Umakhanov","23","Russia","0","0","1"
"G","2000","01/10/2000","Wrestling","0","Mukhran Vakht'angadze","27","Georgia","0","1","1"
"T","2000","01/10/2000","Wrestling","1","Hamza Yerlikaya","24","Turkey","0","0","1"
"F","2000","01/10/2000","Wrestling","0","Marko Yli-Hannuksela","26","Finland","0","1","1"
"R","2012","12/08/2012","Weightlifting","0","Ruslan Albegov","24","Russia","0","1","1"
"I","2012","12/08/2012","Weightlifting","0","Sajjad Anoushiravani","28","Iran","1","0","1"
"R","2012","12/08/2012","Weightlifting","0","Apti Aukhadov","19","Russia","1","0","1"
"P","2012","12/08/2012","Weightlifting","0","Bartlomiej Bonk","27","Poland","0","1","1"
"C","2012","12/08/2012","Weightlifting","0","Iván Cambar","28","Cuba","0","1","1"
"K","2012","12/08/2012","Weightlifting","1","Zulfiya Chinshanlo","19","Kazakhstan","0","0","1"
"M","2012","12/08/2012","Weightlifting","0","Anatolii Cîrîcu","23","Moldova","0","1","1"
"R","2012","12/08/2012","Weightlifting","0","Roxana Cocos","23","Romania","1","0","1"
"C","2012","12/08/2012","Weightlifting","0","Oscar Figueroa","29","Colombia","1","0","1"
"C","2012","12/08/2012","Weightlifting","0","Christine Girard","27","Canada","0","1","1"
"C","2012","12/08/2012","Weightlifting","0","Hsu Shu-Ching","21","Chinese Taipei","1","0","1"
"K","2012","12/08/2012","Weightlifting","1","Ilya Ilyin","24","Kazakhstan","0","0","1"
"M","2012","12/08/2012","Weightlifting","0","Cristina Iovu","19","Moldova","0","1","1"
"I","2012","12/08/2012","Weightlifting","0","Eko Irawan","23","Indonesia","0","1","1"
"R","2012","12/08/2012","Weightlifting","0","Aleksandr Ivanov","23","Russia","1","0","1"
"U","2012","12/08/2012","Weightlifting","0","Yuliya Kalina","23","Ukraine","0","1","1"
"R","2012","12/08/2012","Weightlifting","0","Tatyana Kashirina","21","Russia","1","0","1"
"A","2012","12/08/2012","Weightlifting","0","Hripsime Khurshudyan","25","Armenia","0","1","1"
"N","2012","12/08/2012","Weightlifting","1","Kim Un-Guk","23","North Korea","0","0","1"
"B","2012","12/08/2012","Weightlifting","0","Irina Kulesha","26","Belarus","0","1","1"
"C","2012","12/08/2012","Weightlifting","1","Li Xueying","22","China","0","0","1"
"C","2012","12/08/2012","Weightlifting","1","Lin Qingfeng","23","China","0","0","1"
"C","2012","12/08/2012","Weightlifting","0","Lu Haojie","21","China","1","0","1"
"C","2012","12/08/2012","Weightlifting","1","Lu Xiaojun","28","China","0","0","1"
"K","2012","12/08/2012","Weightlifting","1","Maiya Maneza","26","Kazakhstan","0","0","1"
"R","2012","12/08/2012","Weightlifting","0","Razvan Martin","20","Romania","0","1","1"
"J","2012","12/08/2012","Weightlifting","0","Hiromi Miyake","26","Japan","1","0","1"
"I","2012","12/08/2012","Weightlifting","0","Navab Nasirshelal","23","Iran","1","0","1"
"N","2012","12/08/2012","Weightlifting","1","Om Yun-Chol","20","North Korea","0","0","1"
"K","2012","12/08/2012","Weightlifting","1","Svetlana Podobedova","26","Kazakhstan","0","0","1"
"N","2012","12/08/2012","Weightlifting","1","Rim Jong-Sim","19","North Korea","0","0","1"
"I","2012","12/08/2012","Weightlifting","0","Kianoush Rostami","21","Iran","0","1","1"
"N","2012","12/08/2012","Weightlifting","0","Ryang Chun-Hwa","21","North Korea","0","1","1"
"I","2012","12/08/2012","Weightlifting","1","Behdad Salimi","22","Iran","0","0","1"
"B","2012","12/08/2012","Weightlifting","0","Marina Shkermankova","22","Belarus","0","1","1"
"T","2012","12/08/2012","Weightlifting","0","Pimsiri Sirikaew","22","Thailand","1","0","1"
"U","2012","12/08/2012","Weightlifting","1","Oleksiy Torokhtiy","26","Ukraine","0","0","1"
"I","2012","12/08/2012","Weightlifting","0","Triyatno","24","Indonesia","1","0","1"
"R","2012","12/08/2012","Weightlifting","0","Svetlana Tsarukayeva","24","Russia","1","0","1"
"C","2012","12/08/2012","Weightlifting","1","Wang Mingjuan","26","China","0","0","1"
"C","2012","12/08/2012","Weightlifting","0","Wu Jingbiao","23","China","1","0","1"
"A","2012","12/08/2012","Weightlifting","0","Valentin Xristov","18","Azerbaijan","0","1","1"
"R","2012","12/08/2012","Weightlifting","0","Nataliya Zabolotnaya","26","Russia","1","0","1"
"C","2012","12/08/2012","Weightlifting","1","Zhou Lulu","24","China","0","0","1"
"P","2012","12/08/2012","Weightlifting","1","Adrian Zielinski","23","Poland","0","0","1"
"R","2008","24/08/2008","Weightlifting","0","Khadzhimurat Akkayev","23","Russia","0","1","1"
"B","2008","24/08/2008","Weightlifting","1","Andrey Aryamnov","20","Belarus","0","0","1"
"C","2008","24/08/2008","Weightlifting","1","Cao Lei","24","China","0","0","1"
"C","2008","24/08/2008","Weightlifting","0","Chen Wei-Ling","26","Chinese Taipei","0","1","1"
"C","2008","24/08/2008","Weightlifting","1","Chen Xiexia","25","China","0","0","1"
"C","2008","24/08/2008","Weightlifting","1","Chen Yanqing","29","China","0","0","1"
"R","2008","24/08/2008","Weightlifting","0","Yevgeny Chigishev","29","Russia","1","0","1"
"F","2008","24/08/2008","Weightlifting","0","Vencelas Dabaya","27","France","1","0","1"
"A","2008","24/08/2008","Weightlifting","0","Gevorg Davtyan","25","Armenia","0","1","1"
"U","2008","24/08/2008","Weightlifting","0","Nataliya Davydova","23","Ukraine","0","1","1"
"K","2008","24/08/2008","Weightlifting","0","Mariya Grabovetskaya","21","Kazakhstan","0","1","1"
"V","2008","24/08/2008","Weightlifting","0","Hoàng Anh Tu?n","23","Vietnam","1","0","1"
"K","2008","24/08/2008","Weightlifting","1","Ilya Ilyin","20","Kazakhstan","0","0","1"
"I","2008","24/08/2008","Weightlifting","0","Eko Irawan","19","Indonesia","0","1","1"
"S","2008","24/08/2008","Weightlifting","1","Jang Mi-Ran","24","South Korea","0","0","1"
"T","2008","24/08/2008","Weightlifting","1","Prapawadee Jaroenrattanatarakoon","24","Thailand","0","0","1"
"R","2008","24/08/2008","Weightlifting","0","Dmitry Klokov","25","Russia","1","0","1"
"U","2008","24/08/2008","Weightlifting","0","Olha Korobka","22","Ukraine","1","0","1"
"P","2008","24/08/2008","Weightlifting","0","Szymon Kolecki","26","Poland","1","0","1"
"R","2008","24/08/2008","Weightlifting","0","Dmitry Lapikov","26","Russia","0","1","1"
"C","2008","24/08/2008","Weightlifting","0","Li Hongli","27","China","1","0","1"
"C","2008","24/08/2008","Weightlifting","1","Liao Hui","20","China","0","0","1"
"C","2008","24/08/2008","Weightlifting","1","Liu Chunhong","25","China","0","0","1"
"C","2008","24/08/2008","Weightlifting","1","Long Qingquan","17","China","0","0","1"
"C","2008","24/08/2008","Weightlifting","0","Lu Ying-Chi","23","Chinese Taipei","0","1","1"
"C","2008","24/08/2008","Weightlifting","1","Lu Yong","22","China","0","0","1"
"A","2008","24/08/2008","Weightlifting","0","Tigran G. Martirosyan","20","Armenia","0","1","1"
"A","2008","24/08/2008","Weightlifting","0","Tigran V. Martirosyan","25","Armenia","0","1","1"
"K","2008","24/08/2008","Weightlifting","0","Irina Nekrasova","20","Kazakhstan","1","0","1"
"B","2008","24/08/2008","Weightlifting","0","Anastasiya Novikova","26","Belarus","0","1","1"
"N","2008","24/08/2008","Weightlifting","0","O Jong-Ae","24","North Korea","0","1","1"
"T","2008","24/08/2008","Weightlifting","0","Sibel Özkan","20","Turkey","1","0","1"
"N","2008","24/08/2008","Weightlifting","1","Pak Hyon-Suk","23","North Korea","0","0","1"
"B","2008","24/08/2008","Weightlifting","0","Andrey Rybakov","26","Belarus","1","0","1"
"S","2008","24/08/2008","Weightlifting","1","Sa Jae-Hyeok","23","South Korea","0","0","1"
"C","2008","24/08/2008","Weightlifting","0","Diego Fernando Salazar","27","Colombia","1","0","1"
"L","2008","24/08/2008","Weightlifting","0","Viktors Šcerbatihs","33","Latvia","0","1","1"
"R","2008","24/08/2008","Weightlifting","0","Marina Shainova","22","Russia","1","0","1"
"R","2008","24/08/2008","Weightlifting","0","Oksana Slivenko","21","Russia","1","0","1"
"G","2008","24/08/2008","Weightlifting","1","Matthias Steiner","25","Germany","0","0","1"
"I","2008","24/08/2008","Weightlifting","0","Triyatno","20","Indonesia","0","1","1"
"K","2008","24/08/2008","Weightlifting","0","Alla Vazhenina","25","Kazakhstan","1","0","1"
"R","2008","24/08/2008","Weightlifting","0","Nadezhda Yevstyukhina","20","Russia","0","1","1"
"S","2008","24/08/2008","Weightlifting","0","Yoon Jin-Hee","22","South Korea","1","0","1"
"C","2008","24/08/2008","Weightlifting","1","Zhang Xiangxiang","25","China","0","0","1"
"R","2004","29/08/2004","Weightlifting","0","Khadzhimurat Akkayev","19","Russia","1","0","1"
"T","2004","29/08/2004","Weightlifting","0","Sedat Artuç","28","Turkey","0","1","1"
"G","2004","29/08/2004","Weightlifting","1","Giorgi Asanidze","28","Georgia","0","0","1"
"B","2004","29/08/2004","Weightlifting","0","Anna Batyushko","22","Belarus","1","0","1"
"R","2004","29/08/2004","Weightlifting","1","Dmitry Berestov","24","Russia","0","0","1"
"C","2004","29/08/2004","Weightlifting","1","Chen Yanqing","25","China","0","0","1"
"B","2004","29/08/2004","Weightlifting","0","Veliçko Çolakov","22","Bulgaria","0","1","1"
